experiment,model_name,config_name,scheduler,num_steps,cfg_weight,tts_budget,dataset_name,suite_name,traj_name,latency_ms,dist_pred_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,sim2hF_0_13,12.679389333394889,8.128021240234375,0.623031735420227,7.619064807891846,8.352995872497559,7.679609775543213,2.968862533569336,0.15157513320446014
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,sim12hF_1_4,13.103588999911153,7.355297565460205,0.5156543254852295,8.154267311096191,9.113415718078613,8.735669136047363,2.2256510257720947,0.1106901466846466
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,sim2hF_0_11,12.494551999983136,6.697145462036133,0.7717980742454529,7.82952880859375,8.706143379211426,8.17116641998291,2.5910592079162598,0.1276872307062149
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no4vcF_86_0,5.325585666620706,6.741989612579346,0.6227598190307617,7.664430618286133,8.55553150177002,8.174110412597656,2.1680986881256104,0.13678885996341705
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no5vcF_119_0,5.243624666491087,6.204920291900635,0.5831936597824097,7.5293660163879395,8.508116722106934,8.292180061340332,1.359500765800476,0.1010967418551445
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no5vcF_64_2,5.393007333320081,6.724134922027588,0.6518820524215698,8.233684539794922,9.14885425567627,8.708830833435059,2.470243215560913,0.13590361177921295
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim2hF_0_13,6.076877666904086,8.347677230834961,0.5781831741333008,8.096667289733887,8.930937767028809,8.323016166687012,2.8176450729370117,0.143014058470726
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim12hF_1_4,5.393595999976242,7.8149895668029785,0.489075630903244,7.998528957366943,8.804367065429688,8.286056518554688,2.6854159832000732,0.14286181330680847
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim2hF_0_11,5.345104999984566,6.542974472045898,0.5605084896087646,7.68042516708374,8.650280952453613,8.332859992980957,2.0123002529144287,0.10689147561788559
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no4vcF_86_0,5.252847333395039,5.022684097290039,0.7511762380599976,7.197956085205078,8.058769226074219,7.650430679321289,2.1861789226531982,0.1221739873290062
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no5vcF_119_0,5.272965333460888,6.843746185302734,0.5416874885559082,8.11833667755127,8.966662406921387,8.414624214172363,2.798707962036133,0.14349637925624847
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no5vcF_64_2,5.4158346665644785,6.397066116333008,0.5414481163024902,8.077560424804688,8.967103004455566,8.513946533203125,2.499663829803467,0.12875919044017792
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim2hF_0_13,5.2883923334168985,8.128021240234375,0.6773207187652588,7.601992130279541,8.380617141723633,7.785730838775635,2.7649154663085938,0.1511734127998352
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim12hF_1_4,5.720002666597186,7.355297565460205,0.5419268012046814,8.151275634765625,9.12226390838623,8.781878471374512,2.1005122661590576,0.11321169137954712
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim2hF_0_11,5.3670653333028895,6.697145462036133,0.7961447834968567,7.818146228790283,8.713982582092285,8.215341567993164,2.4679079055786133,0.12916569411754608
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts8,ddim,2,0.0,8,go_stanford,short,no4vcF_86_0,5.387748333305353,6.741989612579346,0.391035258769989,8.362257957458496,9.40585994720459,9.168721199035645,1.7789815664291382,0.11178094148635864
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts8,ddim,2,0.0,8,go_stanford,short,no5vcF_119_0,5.536067999855732,6.204920291900635,0.38200652599334717,7.929296016693115,9.002315521240234,8.915010452270508,0.896284818649292,0.09286483377218246
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts8,ddim,2,0.0,8,go_stanford,short,no5vcF_64_2,5.3235506666169385,6.724134922027588,0.3896515667438507,8.511279106140137,9.580799102783203,9.332571983337402,1.8651108741760254,0.11456853896379471
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts8,ddim,2,0.0,8,go_stanford,short,sim2hF_0_13,5.375240333250986,8.347677230834961,0.38260531425476074,8.170548439025879,9.242928504943848,9.0382719039917,1.6991311311721802,0.10575035214424133
