config_id,case_index,dataset,suite,trajectory,obs_time,goal_time,candidate_k,status,action_ade_m,action_fde_m,progress_error_m,heading_error_rad,minade_k_m,candidate_diversity_m,sampling_seed,sampler_latency_ms,error
ddim2_cfg0_standard_k8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.7916097958979149,1.3934494812124554,1.2457908391952515,0.18446142541625843,0.7690653715747439,0.093437415382853,11011,10.167125999942073,
ddim2_cfg0_standard_k8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.6051023361516219,1.0674803886375015,0.9029594510793686,1.2537808400943753,0.31997053984827384,0.45279150077542696,11012,9.815577000154008,
ddim2_cfg0_standard_k8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.43660782726407166,0.6658631764019907,0.6525927186012268,0.40004151896373097,0.33652196520248767,0.09292621631005236,11013,7.92094700045709,
ddim2_cfg0_standard_k8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.6337338583886396,1.0667841613553077,1.066530704498291,0.8104754306592543,0.49395095078805096,0.2609087644968307,11014,9.016918999805057,
ddim3_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.8090210757145349,1.4278636488522891,1.4091805219650269,0.28606631830707174,0.7836819119395284,0.052332667519579344,11000,13.079202999506379,
ddim3_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.775751964231838,1.3961688549516682,1.3394521474838257,0.2957405149679442,0.7192130459646472,0.09650865715808735,11001,11.586714000259235,
ddim3_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.7252281183021775,1.3746157833987713,1.1984958052635193,1.4132545186390795,0.6178374609725898,0.14952811612192093,11002,13.817020999340457,
ddim3_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.38241079409738504,0.6558648704798409,0.5635720491409302,0.21865160406848538,0.3240442926071827,0.08344865164413362,11003,14.765602999432303,
ddim3_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.32069573481754987,0.5126034814051608,0.1757774781435728,0.13241300043648785,0.19500784739002766,0.1813690294697518,11004,13.726784000027692,
ddim3_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.8269541429341349,1.4808964569902487,1.4706697463989258,0.24182452192432669,0.8033133698581678,0.04882037532328754,11005,14.676071000394586,
ddim3_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.6534308033714484,1.1549068259484059,1.0214905738830566,0.060189865388644126,0.6168035452183374,0.05276259009050217,11006,12.936883000293165,
ddim3_cfg0_standard_k8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.6408008392626139,1.0559759036985423,1.0434244871139526,0.04624453033149756,0.5502391243318621,0.2118155549754255,11007,11.792037000304845,
ddim3_cfg0_standard_k8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.47482811535366215,0.7750575327827988,0.7701248228549957,0.32425187323551175,0.40485666277942656,0.07125304323718827,11008,11.750543999369256,
ddim3_cfg0_standard_k8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.21137752318243896,0.33039971440308513,0.10246053338050842,0.5814966981664083,0.13998690736103703,0.21051616372115203,11009,13.870196999960172,
ddim3_cfg0_standard_k8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.7543302868541206,1.338013507367538,1.3279496431350708,0.36807243420806657,0.6797522024754472,0.19176948533131963,11010,11.161727000398969,
ddim3_cfg0_standard_k8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.7922178038412651,1.400850809545355,1.2474056482315063,0.1842307056654926,0.7741140329002729,0.07842890895511015,11011,12.549353999929735,
ddim3_cfg0_standard_k8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.5813686384566044,1.0152812504208215,0.8357926458120346,1.0973972853635203,0.3316873395404797,0.4721235202833389,11012,13.91171100021893,
ddim3_cfg0_standard_k8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.43100745247288386,0.6564145920298383,0.64332515001297,0.39478249128170173,0.33855690350482437,0.0814688082874461,11013,12.17789400016045,
ddim3_cfg0_standard_k8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.663166665912882,1.1123549329680913,1.111189603805542,0.8537380466267384,0.5303491772514511,0.18591067998516747,11014,14.617720000387635,
ddim2_cfg0_tts8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.8314200267311811,1.4660774410899815,1.4626230001449585,0.2040285752286506,0.7776810751545973,0.06067417091824363,11000,9.029307999298908,
ddim2_cfg0_tts8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.7909782738391454,1.4164142608316659,1.3844088315963745,0.23973173544197035,0.6824639190323472,0.11672158856358375,11001,9.095686000364367,
ddim2_cfg0_tts8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.8371045872393631,1.6355365282163739,1.4716092944145203,1.5557322227655206,0.586390190851937,0.163373081092037,11002,10.210526000264508,
ddim2_cfg0_tts8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.4038283855497061,0.6915407080818302,0.6581369638442993,0.3550421846518361,0.31710288946484977,0.09847275104502769,11003,12.186195000140287,
ddim2_cfg0_tts8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.4733271390600218,0.8768227215459722,0.7097883652895689,0.3178758506404318,0.1820488572363199,0.20505927637814222,11004,9.481326000241097,
ddim2_cfg0_tts8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.8354134775349896,1.5088663507725124,1.5047082901000977,0.2801931080525013,0.7809724348337075,0.07181320926014176,11005,9.237608000148612,
ddim2_cfg0_tts8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.6892471474064942,1.1924756342464051,1.0778157711029053,0.007286883522244825,0.6139484144409528,0.05989419662496238,11006,9.388894999574404,
ddim2_cfg0_tts8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.7808777623612744,1.3221512174535959,1.3203994035720825,0.030538772249792512,0.5433117744283926,0.21390687942229855,11007,10.339951999412733,
ddim2_cfg0_tts8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.5340384224273176,0.8514289378736571,0.8514033854007721,0.5553249583064113,0.398734333249672,0.08428423074214064,11008,6.872421000480244,
ddim2_cfg0_tts8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.4018656299644794,0.7369527616136676,0.4668791741132736,0.6444057913354406,0.1355836282174387,0.22878659659689418,11009,10.71994099947915,
ddim2_cfg0_tts8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.7958074282583911,1.429027325402521,1.4287806749343872,0.09337200962218883,0.6482148074321303,0.2199131498254849,11010,10.051223000118625,
ddim2_cfg0_tts8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.8083577662015093,1.4197564837858392,1.3298193216323853,0.1607895383047211,0.7690653715747439,0.093437415382853,11011,7.51587800004927,
ddim2_cfg0_tts8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.9652710249976624,1.6431626760551792,1.57529978454113,1.6753875710677804,0.31997053984827384,0.45279150077542696,11012,9.080865000214544,
ddim2_cfg0_tts8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.48744146242860914,0.7436325875126287,0.7404820322990417,0.26658313934485767,0.33652196520248767,0.09292621631005236,11013,9.588291999534704,
ddim2_cfg0_tts8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.78149883886216,1.3679516569188894,1.3668367862701416,0.39530649054153644,0.49395095078805096,0.2609087644968307,11014,9.422293000170612,
ddim2_cfg2_tts8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.8489526628465734,1.5006398568227457,1.4990922212600708,0.15926482034318346,0.7920452308998338,0.05047080959503599,11000,18.32678099981422,
ddim2_cfg2_tts8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.7938205356470325,1.4217410931833139,1.3967336416244507,0.21873992452763646,0.6899571329535343,0.10809547719433135,11001,15.651697000066633,
ddim2_cfg2_tts8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.8270298068983248,1.5771748819147955,1.5143553614616394,1.1067300132008278,0.60687596440476,0.16107247581027626,11002,18.150521999814373,
ddim2_cfg2_tts8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.43958314916077057,0.7679669358173964,0.6444123983383179,0.225026046611164,0.3742658447186056,0.08699518353368153,11003,18.76504499978182,
ddim2_cfg2_tts8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.4694403093466722,0.8766069552292328,0.5737011861056089,0.16061156321549053,0.22150333004861983,0.210754847359157,11004,16.702730000361043,
ddim2_cfg2_tts8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.8429801717827563,1.5258198732255515,1.518277883529663,0.3313621655531005,0.7944793437716241,0.06945194000449711,11005,17.042434999893885,
ddim2_cfg2_tts8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.6907570724935872,1.2086935790314963,1.1324632167816162,0.13189095150383867,0.6237303103980926,0.057312860060342516,11006,17.268802000216965,
ddim2_cfg2_tts8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.8096482427507803,1.3552749831707525,1.3538659811019897,0.1494581536168158,0.6209022514624623,0.15538957483427618,11007,15.286191000086546,
ddim2_cfg2_tts8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.6423654766624552,1.0415812774252562,1.036874920129776,0.35807395404814857,0.5116581312399356,0.07785148752476068,11008,17.681358000118053,
ddim2_cfg2_tts8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.37120532968931635,0.7012952893684306,0.12141923606395721,0.11672471542492913,0.23699608672749262,0.20391529652502074,11009,17.8446330000952,
ddim2_cfg2_tts8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.8156004105886058,1.4605549187321116,1.4605499505996704,0.12991478372459886,0.6617499068043183,0.23113369225983918,11010,15.533077999862144,
ddim2_cfg2_tts8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.8036411153862867,1.415827366211208,1.310564637184143,0.20985359184269914,0.7712790392570134,0.08327061956339296,11011,15.427502000420645,
ddim2_cfg2_tts8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.6618324796098891,1.2546143492885546,0.5367070287466049,1.0625534591057004,0.0997685449580655,0.6306896021010088,11012,18.636469999364635,
ddim2_cfg2_tts8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.5297634303886891,0.8061409003954836,0.7692585587501526,0.638005652127752,0.4100731044811572,0.10484741780278738,11013,18.469204000211903,
ddim2_cfg2_tts8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.7662022066860454,1.2516148021257694,1.248986005783081,0.24085506736935258,0.5252393733389242,0.30415650353357354,11014,16.070101999503095,
